dec_year,basis,node,official,estimated,est_minus_official,official_rolled,rolled_minus_official
2014,new,core_services,58.305,58.3115,0.0065,,
2014,new,commodities,37.88,37.8761,-0.0039,,
2014,new,services,62.12,62.1239,0.0039,,
2014,new,food_home,8.427,8.4165,-0.0105,,
2014,new,food_away,5.83,5.8245,-0.0055,,
2014,new,energy_cmdty,4.215,4.2139,-0.0011,,
2014,new,energy_svc,3.815,3.8139,-0.0011,,
2014,new,rent_shelter,32.336,32.3377,0.0017,,
2014,new,svc_less_ros,29.784,29.7862,0.0022,,
2015,new,headline,100.0,100.0,0.0,,
2015,new,core,79.169,,,,
2015,new,food,14.015,14.0143,-0.0007,,
2015,new,energy,6.816,6.8168,0.0008,,
2015,new,core_goods,19.613,19.6155,0.0025,,
2015,new,core_services,59.556,59.5534,-0.0026,,
2015,new,commodities,36.856,36.863,0.007,,
2015,new,services,63.144,63.137,-0.007,,
2015,new,food_home,8.23,8.2292,-0.0008,,
2015,new,food_away,5.785,5.785,0.0,,
2015,new,energy_cmdty,3.228,3.2277,-0.0003,,
2015,new,energy_svc,3.588,3.5891,0.0011,,
2015,new,rent_shelter,32.801,32.7962,-0.0048,,
2015,new,svc_less_ros,30.343,30.3409,-0.0021,,
2016,new,headline,100.0,100.0,0.0,,
2016,new,core,79.263,,,,
2016,new,food,13.698,13.7167,0.0187,,
2016,new,energy,7.039,7.0442,0.0052,,
2016,new,core_goods,19.101,19.1001,-0.0009,,
2016,new,core_services,60.162,60.139,-0.023,,
2016,new,commodities,36.246,36.2394,-0.0066,,
2016,new,services,63.754,63.7606,0.0066,,
2016,new,food_home,7.899,7.9082,0.0092,,
2016,new,food_away,5.799,5.8085,0.0095,,
2016,new,energy_cmdty,3.447,3.4492,0.0022,,
2016,new,energy_svc,3.592,3.595,0.003,,
2016,new,rent_shelter,33.309,33.3185,0.0095,,
2016,new,svc_less_ros,30.445,30.4421,-0.0029,,
2017,new,headline,100.0,100.0,0.0,,
