dec_year,basis,weights,node,item,cpi_u,source
1999,new,,headline,All items,100.0,ri-archive-1990-1999/1990-1999_RI_archive/1999.txt
1999,new,,core,All items less food and energy,77.731,ri-archive-1990-1999/1990-1999_RI_archive/1999.txt
1999,new,,food,Food,15.315,ri-archive-1990-1999/1990-1999_RI_archive/1999.txt
1999,new,,energy,Energy,6.954,ri-archive-1990-1999/1990-1999_RI_archive/1999.txt
1999,new,,core_goods,Commodities less food and energy commodities,23.393,ri-archive-1990-1999/1990-1999_RI_archive/1999.txt
1999,new,,core_services,Services less energy services,54.338,ri-archive-1990-1999/1990-1999_RI_archive/1999.txt
1999,new,,commodities,Commodities,42.141,ri-archive-1990-1999/1990-1999_RI_archive/1999.txt
1999,new,,services,Services,57.859,ri-archive-1990-1999/1990-1999_RI_archive/1999.txt
1999,new,,food_home,Food at home,9.603,ri-archive-1990-1999/1990-1999_RI_archive/1999.txt
1999,new,,food_away,Food away from home,5.712,ri-archive-1990-1999/1990-1999_RI_archive/1999.txt
1999,new,,energy_cmdty,Energy commodities,3.433,ri-archive-1990-1999/1990-1999_RI_archive/1999.txt
1999,new,,energy_svc,(derived) Energy - Energy commodities,3.521,ri-archive-1990-1999/1990-1999_RI_archive/1999.txt
1999,new,,rent_shelter,Rent of shelter,29.865,ri-archive-1990-1999/1990-1999_RI_archive/1999.txt
1999,new,,svc_less_ros,Services less rent of shelter,27.994,ri-archive-1990-1999/1990-1999_RI_archive/1999.txt
2000,new,,headline,All items,100.0,ri-archive-2000-2009/2000-2009_RI_archive/2000.txt
2000,new,,core,All items less food and energy,77.102,ri-archive-2000-2009/2000-2009_RI_archive/2000.txt
2000,new,,food,Food,15.217,ri-archive-2000-2009/2000-2009_RI_archive/2000.txt
2000,new,,energy,Energy,7.681,ri-archive-2000-2009/2000-2009_RI_archive/2000.txt
2000,new,,core_goods,Commodities less food and energy commodities,22.768,ri-archive-2000-2009/2000-2009_RI_archive/2000.txt
2000,new,,core_services,Services less energy services,54.334,ri-archive-2000-2009/2000-2009_RI_archive/2000.txt
2000,new,,commodities,Commodities,41.828,ri-archive-2000-2009/2000-2009_RI_archive/2000.txt
2000,new,,services,Services,58.172,ri-archive-2000-2009/2000-2009_RI_archive/2000.txt
2000,new,,food_home,Food at home,9.56,ri-archive-2000-2009/2000-2009_RI_archive/2000.txt
2000,new,,food_away,Food away from home,5.658,ri-archive-2000-2009/2000-2009_RI_archive/2000.txt
2000,new,,energy_cmdty,Energy commodities,3.843,ri-archive-2000-2009/2000-2009_RI_archive/2000.txt
2000,new,,energy_svc,(derived) Energy - Energy commodities,3.838,ri-archive-2000-2009/2000-2009_RI_archive/2000.txt
2000,new,,rent_shelter,Rent of shelter,29.885,ri-archive-2000-2009/2000-2009_RI_archive/2000.txt
2000,new,,svc_less_ros,Services less rent of shelter,28.287,ri-archive-2000-2009/2000-2009_RI_archive/2000.txt
2001,new,1999-2000 Weights,headline,All items,100.0,ri-archive-2000-2009/2000-2009_RI_archive/2001.txt
2001,new,1999-2000 Weights,core,All items less food and energy,79.094,ri-archive-2000-2009/2000-2009_RI_archive/2001.txt
2001,new,1999-2000 Weights,food,Food,14.688,ri-archive-2000-2009/2000-2009_RI_archive/2001.txt
2001,new,1999-2000 Weights,energy,Energy,6.218,ri-archive-2000-2009/2000-2009_RI_archive/2001.txt
2001,new,1999-2000 Weights,core_goods,Commodities less food and energy commodities,23.86,ri-archive-2000-2009/2000-2009_RI_archive/2001.txt
2001,new,1999-2000 Weights,core_services,Services less energy services,55.234,ri-archive-2000-2009/2000-2009_RI_archive/2001.txt
2001,new,1999-2000 Weights,commodities,Commodities,41.3,ri-archive-2000-2009/2000-2009_RI_archive/2001.txt
2001,new,1999-2000 Weights,services,Services,58.7,ri-archive-2000-2009/2000-2009_RI_archive/2001.txt
2001,new,1999-2000 Weights,food_home,Food at home,8.468,ri-archive-2000-2009/2000-2009_RI_archive/2001.txt
2001,new,1999-2000 Weights,food_away,Food away from home,6.22,ri-archive-2000-2009/2000-2009_RI_archive/2001.txt
2001,new,1999-2000 Weights,energy_cmdty,Energy commodities,2.752,ri-archive-2000-2009/2000-2009_RI_archive/2001.txt
2001,new,1999-2000 Weights,energy_svc,(derived) Energy - Energy commodities,3.466,ri-archive-2000-2009/2000-2009_RI_archive/2001.txt
2001,new,1999-2000 Weights,rent_shelter,Rent of shelter,31.169,ri-archive-2000-2009/2000-2009_RI_archive/2001.txt
2001,new,1999-2000 Weights,svc_less_ros,Services less rent of shelter,27.531,ri-archive-2000-2009/2000-2009_RI_archive/2001.txt
2001,old,1993-95 Weights,headline,All items,100.0,ri-archive-2000-2009/2000-2009_RI_archive/old-weights-2001.txt
2001,old,1993-95 Weights,core,All items less food and energy,78.02,ri-archive-2000-2009/2000-2009_RI_archive/old-weights-2001.txt
2001,old,1993-95 Weights,food,Food,15.403,ri-archive-2000-2009/2000-2009_RI_archive/old-weights-2001.txt
2001,old,1993-95 Weights,energy,Energy,6.576,ri-archive-2000-2009/2000-2009_RI_archive/old-weights-2001.txt
2001,old,1993-95 Weights,core_goods,Commodities less food and energy commodities,22.366,ri-archive-2000-2009/2000-2009_RI_archive/old-weights-2001.txt
2001,old,1993-95 Weights,core_services,Services less energy services,55.654,ri-archive-2000-2009/2000-2009_RI_archive/old-weights-2001.txt
2001,old,1993-95 Weights,commodities,Commodities,40.624,ri-archive-2000-2009/2000-2009_RI_archive/old-weights-2001.txt
2001,old,1993-95 Weights,services,Services,59.376,ri-archive-2000-2009/2000-2009_RI_archive/old-weights-2001.txt
2001,old,1993-95 Weights,food_home,Food at home,9.661,ri-archive-2000-2009/2000-2009_RI_archive/old-weights-2001.txt
2001,old,1993-95 Weights,food_away,Food away from home,5.743,ri-archive-2000-2009/2000-2009_RI_archive/old-weights-2001.txt
2001,old,1993-95 Weights,energy_cmdty,Energy commodities,2.855,ri-archive-2000-2009/2000-2009_RI_archive/old-weights-2001.txt
2001,old,1993-95 Weights,energy_svc,(derived) Energy - Energy commodities,3.721,ri-archive-2000-2009/2000-2009_RI_archive/old-weights-2001.txt
2001,old,1993-95 Weights,rent_shelter,Rent of shelter,30.671,ri-archive-2000-2009/2000-2009_RI_archive/old-weights-2001.txt
2001,old,1993-95 Weights,svc_less_ros,Services less rent of shelter,28.705,ri-archive-2000-2009/2000-2009_RI_archive/old-weights-2001.txt
2002,new,1999-2000 Weights,headline,All items,100.0,ri-archive-2000-2009/2000-2009_RI_archive/2002.txt
2002,new,1999-2000 Weights,core,All items less food and energy,78.724,ri-archive-2000-2009/2000-2009_RI_archive/2002.txt
2002,new,1999-2000 Weights,food,Food,14.554,ri-archive-2000-2009/2000-2009_RI_archive/2002.txt
2002,new,1999-2000 Weights,energy,Energy,6.723,ri-archive-2000-2009/2000-2009_RI_archive/2002.txt
2002,new,1999-2000 Weights,core_goods,Commodities less food and energy commodities,22.945,ri-archive-2000-2009/2000-2009_RI_archive/2002.txt
2002,new,1999-2000 Weights,core_services,Services less energy services,55.779,ri-archive-2000-2009/2000-2009_RI_archive/2002.txt
2002,new,1999-2000 Weights,commodities,Commodities,40.822,ri-archive-2000-2009/2000-2009_RI_archive/2002.txt
2002,new,1999-2000 Weights,services,Services,59.178,ri-archive-2000-2009/2000-2009_RI_archive/2002.txt
2002,new,1999-2000 Weights,food_home,Food at home,8.338,ri-archive-2000-2009/2000-2009_RI_archive/2002.txt
2002,new,1999-2000 Weights,food_away,Food away from home,6.216,ri-archive-2000-2009/2000-2009_RI_archive/2002.txt
2002,new,1999-2000 Weights,energy_cmdty,Energy commodities,3.324,ri-archive-2000-2009/2000-2009_RI_archive/2002.txt
2002,new,1999-2000 Weights,energy_svc,(derived) Energy - Energy commodities,3.399,ri-archive-2000-2009/2000-2009_RI_archive/2002.txt
2002,new,1999-2000 Weights,rent_shelter,Rent of shelter,31.364,ri-archive-2000-2009/2000-2009_RI_archive/2002.txt
2002,new,1999-2000 Weights,svc_less_ros,Services less rent of shelter,27.815,ri-archive-2000-2009/2000-2009_RI_archive/2002.txt
2003,new,2001-2002 Weights,headline,All items,100.0,ri-archive-2000-2009/2000-2009_RI_archive/2003.txt
2003,new,2001-2002 Weights,core,All items less food and energy,78.537,ri-archive-2000-2009/2000-2009_RI_archive/2003.txt
2003,new,2001-2002 Weights,food,Food,14.383,ri-archive-2000-2009/2000-2009_RI_archive/2003.txt
2003,new,2001-2002 Weights,energy,Energy,7.08,ri-archive-2000-2009/2000-2009_RI_archive/2003.txt
2003,new,2001-2002 Weights,core_goods,Commodities less food and energy commodities,22.254,ri-archive-2000-2009/2000-2009_RI_archive/2003.txt
2003,new,2001-2002 Weights,core_services,Services less energy services,56.283,ri-archive-2000-2009/2000-2009_RI_archive/2003.txt
2003,new,2001-2002 Weights,commodities,Commodities,40.117,ri-archive-2000-2009/2000-2009_RI_archive/2003.txt
